Emotion,Text
neutral, There are tons of other paintings that I think are better . 
sadness,"Yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down . "
fear,When I get into the tube or the train without paying for the ticket.
fear,"This last may be a source of considerable disquiet and one might not at first see how such obviously ` immoral "" content could be defended as part of a system of morality . "
anger,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . "
sadness,When my family heard that my Mother's cousin who lives in England wrote us to tell that he had cancer of the lymph glands.
joy,Finding out I am chosen to collect norms for Chinese aphasia (I will contribute to China's catching up with the West in neuropsychology).
anger,"A spokesperson said : ` Glen is furious that the new ` Anarchy "" promo features footage of Sid Vicious as well as himself . "
neutral, Yes . 
sadness,"When I see people with burns I feel sad, actually I can not even express my feelings as I think that they must suffer a lot."
fear,I had gone to the hospital for my research and got late in reaching home.  I feared that when I reached home there would be a quarrel because of my being late.
sadness,One day I heard from a friend that the boy I loved had gone out with her and not with me.
joy,Connor 's voice was gleeful . 
anger, Very funny . What's wrong with you today ? You are my secretary and you are not supposed to talk to me in that tone of voice . Do you know that ? 
neutral, Perhaps we need to have more babies ! Tina gave birth to a baby boy yesterday . 
neutral, Why ? 
joy,` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half . 
fear,"When I have to leave the baby in the carriage and go shopping, I fear that something will happen to the baby."
anger," No , you used to be . But not now . You are in love with someone else . You are in love with my friend , Janet . You appreciate her very much . You think she is beautiful and fun to be with and you think I ’ m dumb and uninteresting . "
anger, Wow ! Why so much ? I thought they were getting you an assistant . 
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
joy,Spontaneous picnic with sister and friend and children - great.
sadness,"Upon moving away from home for the first time to a different city, I felt no longer \under the wing\"" of my parents even though they would always be there to help me. I felt a sense of loss, I was now all alone in the world, responsible for my own actions."""
neutral, Over there . 
sadness,"When I learnt that I had failed an exam,  This not only influenced my emotions but also other important tasks, it also made my record imperfect."
neutral," Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks . "
joy,"Good morning , Mary ! "
anger,"A few months ago when I was teaching, I suddenly became very angry at the children and slapped some of them."
neutral, Why ? 
anger,When my sister lost my favourite jumper at a party and failed to tell me for several days after it happened.
sadness,"My little cat which I had raised all by myself, hanged itself when playing in the garden."
anger,Stock investors were not miffed by the frantic currency markets .
sadness,"` After he got back I felt like I was in a black hole , "" groaned a disconsolate Wilkinson after his two hour defeat . "
joy, Say hi to your family for me . 
fear,When biking and I felt very bad (problems with heart and respiration).
fear,"Whenever I am alone in a dark room, walk alone on the street, sleep alone in the room at night or see something which is only partly visible.  This emotion was very strong when as an 8 year   old child I saw something horrible.  "
sadness,When India lost the Benson and Hedges cricket trophy.
fear,When I got in jungle where there was a great number of snakes.
joy,"At a party, on New Year's Eve, I met on old friend whom I had not seen for some time"
anger,When I failed the M.S.C exams.
joy,When I saw a person I had not seen for a long time.
joy,When I look at people around and know that people who are stupid look stupid.
sadness,A case of unrequited love.
anger,Once in my work it happened a fight between the person in charge and me. I got so angry and spoke out everything I felt at the moment.
sadness,"The death of my father, even though we had not been very close to each other."
joy,When I was admitted to the University.
joy,"I saw him return this morning , so pleased with himself . "" "
anger,When I missed the tram after having run for it.
sadness,"As Joe and Biddy became a little more cheerful , discussing my possible plans for the future , I became more miserable . "
fear,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream."
neutral, Why ? 
anger,"The more resentful and unforgiving Willie Morgan , was taken to court and then had to terminate a lucrative six year contract after only nine months . "
anger,"That may not , however , be enough for the offended partner . "
fear,Saw a classmate knocked down by a motorcycle.
neutral, Make it 4 
sadness,"If someone mentions things like ration books , powdered egg , air raids and so on , my stomach turns over and I feel quite depressed . "
anger,This feeling occurred to me when my colleague entered in G.V. (University) and I didn't.
joy,"Achieving my goal at a swim meet. I worked toward the goal for 9 yrs. I was capable of achieving it, but I didn't know when."
sadness,"If she had been paying more attention to his face she might have believed that his deeply shocked , anguished expression was not an act , put on for her benefit . "
joy,After a difficult exam. When I had not hoped to take it and had got a high mark. When you present someone with something and he feels glad.
anger, Just look ! In six short weeks I've put on 30 pounds of pure muscle . 
sadness,Finding out about the university does not have enough foreign currency to buy the yournals in your reference list.
joy,My sister had a daughter. I saw the baby for the first time through a pane of glass and she looked at me.
joy, It deserves . That film can give us a lot of inspiration . 
fear,"So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned"
anger," I don ’ t understand how you can have any sympathy for show biz stars . They ’ re overpaid , over-ambitious , and over-adored . "
neutral, Jim ! 
anger,I was with my girlfriend when some guys that I don't like made fuss at my girl.
neutral, So easy . 
joy,"He also said , to the delight of those Nonconformists who read his memoirs , that Watson 's tour was far more successful than Matthew Arnold 's . "
neutral, Exactly . 
neutral, It must be locked . 
joy," How do you do , Ms . Yang.You speak very good English . "
fear,I was walking along the passage to my room (very near the anatomy laboratory) and I heard something and felt that there was some thing behind me.  I looked back and there was no one.  I started imagining that maybe it was a corpse.
anger,"I faced this feeling when I realized I wasn't admitted to the institute in the first classifying, in spite of the high mark I had got at the entrance examination. "
neutral," Don't be so irritable . I just don't understand the program , that's all . "
fear,Sorry I don't live in and I don't need NO MAN as a LEADER (I AM ROYALTY) A KING ALREADY (SELAH)
neutral, Of course . 
fear,When I met an elephant in the bush.
neutral," I can try , but knowing Margaret she will see through that immediately . "
anger,I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself.
sadness,I was very sad when I was shouted at by Uncle and was told that I was not to be given school fees because I didn't go to work in the garden since I had gone to escort my sister to the bus depot.
joy, I'll tell you all about it next Monday . 
fear,I was on my way home when suddenly Gule Wamkulu came from the bush and blocked the road. I was in fear and didn't know what to do.
sadness,When one of my best friends commited siucide during these holidays.
neutral, Next week . 
neutral," The tall one ? Sure , that's Drive , he works with Lily . "
